Sequencing Project ID	taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Genome Size	Gene Count	GC	Coding Base Count %	CDS %	RNA %	w/ Func Pred %	w/o function prediction %	COG %	Pfam %	Enzyme %	KEGG %	Not KEGG %	KO %	Not KO %	MetaCyc %	Not MetaCyc %
1016630	3300025553	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 210-3 deep-092012	DOE Joint Genome Institute (JGI)	3300025553	294247242	579287	62.35851	99.85	99.45	0.55	57.77	41.68	51.05	49.51	21.39	21.52	77.93	36.13	63.32	13.49	85.97
1016633	3300025604	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 210-3 shallow-092012	DOE Joint Genome Institute (JGI)	3300025604	296519657	647456	63.12672	99.85	99.53	0.47	61.2	38.34	54.22	51.27	23.5	24.32	75.21	39.3	60.24	15.19	84.34
1016636	3300025499	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-1 deep-092012	DOE Joint Genome Institute (JGI)	3300025499	233111880	510692	54.80838	99.77	99.36	0.64	60.32	39.05	53.28	50.85	23.89	23.93	75.44	39.16	60.21	15.18	84.18
1016639	3300025443	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-1 shallow-092012	DOE Joint Genome Institute (JGI)	3300025443	164989706	371572	58.75805	99.75	99.4	0.6	60.78	38.62	53.63	50.6	23.73	23.94	75.46	39.12	60.28	15.21	84.19
1016642	3300025495	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-2 deep-092012	DOE Joint Genome Institute (JGI)	3300025495	248128595	516906	61.39249	99.81	99.39	0.61	63.22	36.17	56.57	53.6	25.14	25.69	73.7	41.77	57.63	16.05	83.34
1016645	3300025461	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-2 shallow-092012	DOE Joint Genome Institute (JGI)	3300025461	197774897	426388	62.12318	99.79	99.46	0.54	59.05	40.4	51.56	49.3	22.1	22.49	76.97	37.07	62.39	13.89	85.57
1016648	3300025548	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-3 deep-092012	DOE Joint Genome Institute (JGI)	3300025548	260985971	568753	61.40203	99.81	99.43	0.57	61.61	37.82	54.59	51.9	24.55	24.73	74.7	40.37	59.06	15.62	83.81
1016651	3300025479	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-3 shallow-092012	DOE Joint Genome Institute (JGI)	3300025479	223226873	489250	63.18028	99.81	99.51	0.49	60.01	39.5	52.43	49.8	22.75	23.12	76.39	38.06	61.46	14.27	85.24
1016654	3300025627	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-1 deep-092012	DOE Joint Genome Institute (JGI)	3300025627	350362487	700375	62.60225	99.84	99.45	0.55	61.3	38.14	54.68	52.61	23.12	23.67	75.78	38.46	60.99	14.88	84.57
1016657	3300025633	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-1 shallow-092012	DOE Joint Genome Institute (JGI)	3300025633	332185872	725031	62.56757	99.84	99.5	0.5	58.72	40.78	51.46	49.11	22.07	22.43	77.07	36.69	62.81	14.18	85.32
1016660	3300025634	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-2 shallow-092012	DOE Joint Genome Institute (JGI)	3300025634	342022794	750358	61.56762	99.82	99.46	0.54	57.48	41.97	49.98	47.96	21.34	21.71	77.74	35.57	63.89	13.69	85.76
1016663	3300025703	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F52-2 deep-092012	DOE Joint Genome Institute (JGI)	3300025703	473236989	947465	60.49941	99.84	99.36	0.64	59.54	39.82	52.49	50.93	22.67	23.12	76.23	37.62	61.74	14.51	84.85
1016666	3300025679	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-3 deep-092012	DOE Joint Genome Institute (JGI)	3300025679	474337048	871489	60.24595	99.84	99.3	0.7	62.07	37.23	55.66	54.27	23.6	24.43	74.87	39.26	60.03	15.25	84.05
1016669	3300025574	Metagenome	Permanent Draft	Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA	Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-3 shallow	DOE Joint Genome Institute (JGI)	3300025574	284630148	584099	60.37871	99.82	99.4	0.6	58.78	40.62	51.5	50.06	21.81	22.09	77.31	36.07	63.33	13.95	85.45
